DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
FRI,DMDW_CS-36,---,X,---,X,---,X,B-406,DMDW(DE),---,X,---,X,---,X,---,X,---,X
FRI,DMDW_CS-37,---,X,---,X,---,X,---,X,---,X,A-LH-003,DMDW(DE),---,X,---,X,---,X
FRI,DMDW_CS-38,---,X,---,X,---,X,A-LH-003,DMDW(DE),---,X,---,X,---,X,---,X,---,X
FRI,AI_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
FRI,AI_IT-2,---,X,---,X,---,X,---,X,C-LH-405,AI(DE),---,X,---,X,---,X,---,X
FRI,AI_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
FRI,AI_IT-4,---,X,---,X,---,X,---,X,C-LH-201,AI(DE),---,X,---,X,---,X,---,X
FRI,AI_IT-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
FRI,BD_IT-1,---,X,---,X,---,X,---,X,---,X,C-LH-404,BD(DE),---,X,---,X,---,X
FRI,BD_IT-2,---,X,---,X,---,X,C-LH-405,BD(DE),---,X,---,X,---,X,---,X,---,X
FRI,BD_IT-3,---,X,---,X,---,X,---,X,---,X,C-LH-405,BD(DE),---,X,---,X,---,X
FRI,BD_IT-4,---,X,---,X,---,X,C-LH-201,BD(DE),---,X,---,X,---,X,---,X,---,X
FRI,CI_IT-1,---,X,---,X,---,X,---,X,---,X,C-LH-201,CI(DE),---,X,---,X,---,X
FRI,DSA_CE-1,---,X,---,X,---,X,---,X,C-LH-403,DSA(DE),---,X,---,X,---,X,---,X
FRI,DSA_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
FRI,DSA_CE-3,---,X,---,X,---,X,---,X,C-LH-404,DSA(DE),---,X,---,X,---,X,---,X
FRI,CI_CE-1,---,X,---,X,---,X,C-LH-404,CI(DE),---,X,---,X,---,X,---,X,---,X
FRI,IOT_CE-1,---,X,---,X,---,X,---,X,---,X,C-LH-403,IOT(DE),---,X,---,X,---,X
FRI,IOT_CE-2,---,X,---,X,---,X,C-LH-403,IOT(DE),---,X,---,X,---,X,---,X,---,X
FRI,AI_SE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
FRI,AI_SE-2,---,X,---,X,---,X,---,X,C-LH-202,AI(DE),---,X,---,X,---,X,---,X
FRI,ML_SE-1,---,X,---,X,---,X,---,X,---,X,C-LH-202,ML(DE),---,X,---,X,---,X
FRI,ML_SE-2,---,X,---,X,---,X,---,X,---,X,C-LH-203,ML(DE),---,X,---,X,---,X
,,,,,,,,,,,,,,,,,,,
SAT,HPC_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-16,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,HPC_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DOS_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DOS_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
