MON,CSE-8,---,X,---,X,---,X,B-204,SE,B-204,EE,B-204,CN
TUE,CSE-8,B-203,CN,WL-101,DAA(L),WL-101,DAA(L),A-LH-107,DAA,A-LH-107,EE,A-LH-107,X
WED,CSE-8,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-8,---,X,B-204,SE,B-204,DAA,A-LH-109,EE,WL-101,CN(L),WL-101,CN(L)
FRI,CSE-8,B-206,CN,B-206,SE,B-206,DAA,---,X,---,X,---,X
SAT,CSE-8,B-203,SE,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-9,B-204,DAA,B-204,CN,B-204,SE,A-LH-109,EE,WL-102,CN(L),WL-102,CN(L)
TUE,CSE-9,---,X,B-205,SE,B-205,DAA,B-203,EE,B-203,CN,B-203,X
WED,CSE-9,B-302,SE,A-DL-002,DAA(L),A-DL-002,DAA(L),---,X,---,X,---,X
THU,CSE-9,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-9,---,X,B-301,CN,B-301,EE,---,X,---,X,---,X
SAT,CSE-9,---,X,---,X,---,X,B-402,DAA,B-402,SE,B-402,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-10,---,X,B-205,X,B-205,SE,B-205,CN,B-205,DAA,B-205,EE
TUE,CSE-10,---,X,B-206,X,B-206,EE,B-204,CN,B-204,SE,B-204,DAA
WED,CSE-10,B-306,SE,---,X,---,X,---,X,---,X,---,X
THU,CSE-10,B-203,EE,WL-101,DAA(L),WL-101,DAA(L),---,X,---,X,---,X
FRI,CSE-10,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-10,---,X,A-LH-009,CN,A-LH-009,DAA,A-LH-009,SE,WL-101,CN(L),WL-101,CN(L)
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-11,---,X,B-206,CN,B-206,EE,A-DL-002,SE,A-DL-002,CN(L),A-DL-002,CN(L)
TUE,CSE-11,---,X,B-301,X,B-301,SE,B-205,DAA,B-205,CN,B-205,EE
WED,CSE-11,---,X,B-204,EE,B-204,DAA,---,X,---,X,---,X
THU,CSE-11,B-205,DAA,B-205,SE,B-205,CN,---,X,---,X,---,X
FRI,CSE-11,B-204,SE,WL-101,DAA(L),WL-101,DAA(L),---,X,---,X,---,X
SAT,CSE-11,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-12,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CSE-12,B-302,CN,B-302,SE,B-302,EE,A-LH-109,DAA,WL-101,CN(L),WL-101,CN(L)
WED,CSE-12,---,X,B-205,X,B-205,SE,---,X,---,X,---,X
THU,CSE-12,---,X,---,X,---,X,B-204,EE,B-204,SE,B-204,CN
FRI,CSE-12,---,X,B-302,EE,B-302,DAA,---,X,---,X,---,X
SAT,CSE-12,B-204,CN,WL-101,DAA(L),WL-101,DAA(L),B-301,DAA,B-301,SE,B-301,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-13,B-203,CN,WL-102,DAA(L),WL-102,DAA(L),B-206,EE,B-206,SE,B-206,DAA
TUE,CSE-13,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-13,A-LH-206,DAA,A-DL-102,CN(L),A-DL-102,CN(L),---,X,---,X,---,X
THU,CSE-13,---,X,B-206,X,B-206,EE,B-205,SE,B-205,CN,B-205,X
FRI,CSE-13,B-303,EE,B-303,CN,B-303,SE,---,X,---,X,---,X
SAT,CSE-13,---,X,A-LH-201,X,A-LH-201,SE,A-LH-201,DAA,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
