Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051367,DMDW_CS-17,DOS_CS-22,CSE-30
22051368,DMDW_CS-10,DOS_CS-6,CSE-17
22051369,DMDW_CS-12,DOS_CS-3,CSE-51
2205137,DMDW_CS-3,HPC_CS-3,CSE-21
22051370,DMDW_CS-32,DOS_CS-5,CSE-42
22051371,CI_CS-8,DOS_CS-27,CSE-36
22051372,DMDW_CS-37,DOS_CS-1,CSE-32
22051373,DMDW_CS-18,DOS_CS-4,CSE-09
22051374,DMDW_CS-17,DOS_CS-5,CSE-05
22051375,DMDW_CS-4,HPC_CS-2,CSE-05
22051376,CI_CS-10,HPC_CS-6,CSE-50
22051378,CI_CS-5,DOS_CS-14,CSE-12
22051379,DMDW_CS-17,DOS_CS-5,CSE-05
2205138,CI_CS-7,HPC_CS-15,CSE-05
22051380,CI_CS-11,DOS_CS-19,CSE-06
22051381,DMDW_CS-24,DOS_CS-2,CSE-43
22051382,DMDW_CS-5,HPC_CS-3,CSE-26
22051383,CD_CS-4,DOS_CS-9,CSE-18
22051384,CD_CS-1,HPC_CS-17,CSE-05
22051385,CI_CS-9,HPC_CS-17,CSE-05
22051386,DMDW_CS-8,DOS_CS-6,CSE-50
22051387,CI_CS-12,HPC_CS-17,CSE-55
22051388,CI_CS-5,DOS_CS-32,CSE-36
22051389,DMDW_CS-10,DOS_CS-4,CSE-53
2205139,DMDW_CS-19,DOS_CS-22,CSE-54
22051390,DMDW_CS-25,DOS_CS-15,CSE-28
22051391,CD_CS-2,DOS_CS-8,CSE-16
22051392,CI_CS-6,DOS_CS-2,CSE-53
22051393,DMDW_CS-18,DOS_CS-10,CSE-09
22051394,DMDW_CS-24,DOS_CS-26,CSE-51
22051395,DMDW_CS-36,DOS_CS-9,CSE-33
22051396,DMDW_CS-18,DOS_CS-10,CSE-03
22051397,DMDW_CS-2,DOS_CS-15,CSE-45
22051398,DMDW_CS-25,DOS_CS-7,CSE-01
22051399,DMDW_CS-15,HPC_CS-2,CSE-18
2205140,DMDW_CS-4,HPC_CS-2,CSE-05
22051400,DMDW_CS-15,HPC_CS-2,CSE-18
22051401,DMDW_CS-5,DOS_CS-8,CSE-51
22051402,CI_CS-11,DOS_CS-8,CSE-47
22051403,CI_CS-10,HPC_CS-2,CSE-18
22051404,DMDW_CS-27,DOS_CS-19,CSE-20
22051405,DMDW_CS-35,DOS_CS-28,CSE-42
22051406,CI_CS-4,HPC_CS-3,CSE-47
22051407,CI_CS-12,DOS_CS-22,CSE-40
22051408,CI_CS-14,DOS_CS-5,CSE-33
22051409,DMDW_CS-37,DOS_CS-8,CSE-26
2205141,DMDW_CS-36,HPC_CS-1,CSE-16
22051410,DMDW_CS-9,DOS_CS-4,CSE-02
22051411,DMDW_CS-30,DOS_CS-22,CSE-23
22051412,DMDW_CS-12,DOS_CS-15,CSE-28
22051413,CD_CS-2,HPC_CS-21,
22051414,DMDW_CS-2,HPC_CS-2,CSE-09
22051416,DMDW_CS-6,DOS_CS-18,CSE-12
22051417,DMDW_CS-12,DOS_CS-14,CSE-19
22051418,DMDW_CS-1,DOS_CS-5,CSE-03
22051419,DMDW_CS-6,DOS_CS-2,CSE-12
2205142,CI_CS-14,DOS_CS-15,CSE-49
22051420,DMDW_CS-33,DOS_CS-26,CSE-17
22051421,DMDW_CS-30,HPC_CS-9,CSE-52
22051422,DMDW_CS-37,HPC_CS-4,CSE-37
22051423,DMDW_CS-30,DOS_CS-2,CSE-23
22051424,DMDW_CS-34,DOS_CS-5,CSE-48
22051425,DMDW_CS-23,DOS_CS-4,CSE-04
22051426,DMDW_CS-2,HPC_CS-2,CSE-23
22051427,DMDW_CS-1,DOS_CS-5,CSE-03
22051428,DMDW_CS-12,HPC_CS-19,CSE-38
22051429,DMDW_CS-23,DOS_CS-4,CSE-04
2205143,CI_CS-14,DOS_CS-15,CSE-49
22051430,DMDW_CS-32,DOS_CS-27,CSE-27
22051431,DMDW_CS-28,DOS_CS-32,CSE-31
22051432,DMDW_CS-21,DOS_CS-32,CSE-31
22051433,DMDW_CS-2,HPC_CS-2,CSE-23
22051434,CD_CS-3,HPC_CS-19,CSE-24
22051435,DMDW_CS-12,DOS_CS-6,CSE-08
22051436,DMDW_CS-24,DOS_CS-13,CSE-10
22051437,DMDW_CS-12,HPC_CS-3,CSE-30
22051438,DMDW_CS-24,DOS_CS-13,CSE-09
22051439,DMDW_CS-2,HPC_CS-2,CSE-23
2205144,CI_CS-1,DOS_CS-8,CSE-38
22051440,CI_CS-10,DOS_CS-3,CSE-50
22051441,CI_CS-1,HPC_CS-5,CSE-16
22051442,CI_CS-7,HPC_CS-3,CSE-43
22051443,CD_CS-3,HPC_CS-14,CSE-37
22051444,DMDW_CS-8,DOS_CS-6,CSE-48
22051445,CI_CS-4,HPC_CS-3,CSE-24
22051446,DMDW_CS-3,HPC_CS-13,CSE-02
22051447,DMDW_CS-35,DOS_CS-9,CSE-08
22051448,DMDW_CS-5,HPC_CS-5,CSE-50
22051449,DMDW_CS-17,DOS_CS-9,CSE-45
2205145,DMDW_CS-3,HPC_CS-3,CSE-34
22051450,DMDW_CS-27,DOS_CS-14,CSE-08
22051451,CI_CS-6,HPC_CS-6,CSE-18
22051452,CD_CS-1,DOS_CS-21,CSE-47
22051453,DMDW_CS-24,DOS_CS-27,CSE-50
22051454,DMDW_CS-36,DOS_CS-4,CSE-34
22051455,DMDW_CS-36,DOS_CS-4,CSE-34
22051456,CD_CS-2,DOS_CS-8,CSE-17
22051457,CD_CS-2,DOS_CS-28,CSE-53
22051458,CI_CS-7,HPC_CS-3,CSE-30
22051459,DMDW_CS-22,DOS_CS-6,CSE-17
2205146,CI_CS-2,DOS_CS-6,CSE-16
22051461,DMDW_CS-28,DOS_CS-2,CSE-31
22051462,DMDW_CS-24,DOS_CS-14,CSE-08
22051463,DMDW_CS-12,HPC_CS-19,CSE-47
22051464,DMDW_CS-22,HPC_CS-7,CSE-31
22051465,CI_CS-7,DOS_CS-9,CSE-24
22051466,CD_CS-4,DOS_CS-8,CSE-16
22051467,DMDW_CS-6,DOS_CS-5,CSE-53
22051468,DMDW_CS-2,HPC_CS-10,CSE-34
22051469,DMDW_CS-12,HPC_CS-16,CSE-18
22051470,DMDW_CS-21,DOS_CS-18,CSE-31
22051471,DMDW_CS-9,HPC_CS-19,CSE-37
22051472,DMDW_CS-12,DOS_CS-14,CSE-19
22051473,DMDW_CS-17,HPC_CS-2,CSE-18
22051474,CI_CS-9,HPC_CS-9,CSE-30
22051475,CI_CS-6,DOS_CS-2,CSE-53
22051476,CI_CS-3,DOS_CS-3,CSE-53
22051477,DMDW_CS-5,HPC_CS-4,CSE-38
22051478,CI_CS-5,HPC_CS-17,CSE-19
22051479,CI_CS-11,HPC_CS-4,CSE-38
22051480,DMDW_CS-6,DOS_CS-3,CSE-17
22051481,DMDW_CS-34,HPC_CS-2,CSE-05
22051482,DMDW_CS-24,HPC_CS-7,CSE-51
22051483,DMDW_CS-3,HPC_CS-6,CSE-20
22051484,DMDW_CS-18,HPC_CS-4,CSE-42
22051485,CI_CS-7,HPC_CS-14,CSE-38
22051486,DMDW_CS-9,DOS_CS-14,CSE-30
22051487,CD_CS-4,HPC_CS-14,CSE-31
22051488,CD_CS-2,DOS_CS-26,CSE-41
22051489,DMDW_CS-32,HPC_CS-17,CSE-46
2205149,DMDW_CS-3,DOS_CS-6,CSE-19
22051490,DMDW_CS-28,HPC_CS-12,CSE-31
22051491,DMDW_CS-34,DOS_CS-7,CSE-24
22051493,DMDW_CS-2,HPC_CS-2,CSE-04
22051494,DMDW_CS-21,DOS_CS-21,CSE-29
22051495,DMDW_CS-11,DOS_CS-26,CSE-51
22051496,CI_CS-3,HPC_CS-13,CSE-32
22051497,DMDW_CS-2,DOS_CS-27,CSE-04
22051498,DMDW_CS-2,HPC_CS-14,CSE-04
22051499,DMDW_CS-19,DOS_CS-15,CSE-04
2205150,CI_CS-10,DOS_CS-18,CSE-27
22051500,DMDW_CS-22,DOS_CS-31,CSE-05
22051501,CD_CS-2,HPC_CS-1,CSE-47
22051502,DMDW_CS-19,HPC_CS-2,CSE-39
22051503,DMDW_CS-2,DOS_CS-14,CSE-19
22051504,DMDW_CS-10,HPC_CS-9,CSE-41
22051505,DMDW_CS-19,DOS_CS-10,CSE-03
22051506,DMDW_CS-10,DOS_CS-26,CSE-08
22051507,DMDW_CS-1,DOS_CS-30,CSE-04
22051508,DMDW_CS-23,DOS_CS-1,CSE-42
22051509,DMDW_CS-4,DOS_CS-7,CSE-54
2205151,DMDW_CS-8,HPC_CS-1,CSE-41
22051510,CI_CS-6,DOS_CS-14,CSE-17
22051511,DMDW_CS-12,HPC_CS-3,CSE-08
22051513,CI_CS-3,DOS_CS-22,CSE-29
22051514,CI_CS-7,HPC_CS-14,CSE-10
22051515,DMDW_CS-6,DOS_CS-2,CSE-12
22051516,CI_CS-7,DOS_CS-26,CSE-18
22051517,CI_CS-9,DOS_CS-3,CSE-03
22051518,CD_CS-4,HPC_CS-14,CSE-09
22051519,DMDW_CS-10,DOS_CS-31,CSE-45
2205152,DMDW_CS-30,DOS_CS-5,CSE-44
22051520,DMDW_CS-8,DOS_CS-14,CSE-20
22051521,CI_CS-12,DOS_CS-2,CSE-39
22051522,CI_CS-1,DOS_CS-26,CSE-51
22051523,DMDW_CS-36,HPC_CS-4,CSE-25
22051524,CI_CS-7,HPC_CS-15,CSE-51
22051525,CI_CS-8,HPC_CS-1,CSE-17
22051526,DMDW_CS-8,HPC_CS-4,CSE-51
22051527,DMDW_CS-24,DOS_CS-3,CSE-38
22051528,DMDW_CS-5,DOS_CS-2,CSE-29
22051529,CI_CS-7,DOS_CS-7,CSE-48
2205153,CI_CS-9,HPC_CS-1,CSE-01
22051530,CI_CS-7,DOS_CS-19,CSE-41
22051531,CI_CS-7,DOS_CS-9,CSE-10
22051532,DMDW_CS-11,DOS_CS-14,CSE-46
22051533,DMDW_CS-33,HPC_CS-21,CSE-17
22051534,DMDW_CS-19,DOS_CS-22,CSE-01
22051535,CD_CS-1,DOS_CS-19,CSE-03
22051536,DMDW_CS-28,HPC_CS-14,CSE-54
22051537,DMDW_CS-23,DOS_CS-7,CSE-42
22051538,DMDW_CS-8,DOS_CS-6,CSE-22
22051539,DMDW_CS-28,DOS_CS-2,CSE-31
2205154,DMDW_CS-18,DOS_CS-1,CSE-04
22051540,CD_CS-1,DOS_CS-22,CSE-03
22051541,DMDW_CS-23,HPC_CS-14,CSE-47
22051542,CD_CS-3,DOS_CS-28,CSE-51
22051543,DMDW_CS-11,DOS_CS-8,CSE-22
22051544,DMDW_CS-11,DOS_CS-8,CSE-22
22051545,DMDW_CS-11,HPC_CS-4,CSE-39
22051546,DMDW_CS-28,HPC_CS-12,CSE-31
22051547,DMDW_CS-19,HPC_CS-15,CSE-33
22051548,DMDW_CS-11,DOS_CS-6,CSE-21
22051549,DMDW_CS-19,DOS_CS-21,CSE-29
2205155,DMDW_CS-4,DOS_CS-30,CSE-52
22051551,CD_CS-3,DOS_CS-6,CSE-03
22051552,DMDW_CS-11,DOS_CS-14,CSE-08
22051553,DMDW_CS-6,DOS_CS-14,CSE-24
22051555,DMDW_CS-32,DOS_CS-8,CSE-40
22051556,DMDW_CS-11,DOS_CS-6,CSE-45
22051557,CI_CS-12,DOS_CS-6,CSE-48
22051558,DMDW_CS-10,HPC_CS-19,CSE-34
22051559,DMDW_CS-11,DOS_CS-8,CSE-22
2205156,CI_CS-4,DOS_CS-13,CSE-11
22051560,DMDW_CS-8,HPC_CS-5,CSE-52
22051561,CI_CS-3,HPC_CS-13,CSE-14
22051562,DMDW_CS-2,DOS_CS-18,CSE-08
22051563,DMDW_CS-36,DOS_CS-4,CSE-13
22051564,DMDW_CS-35,DOS_CS-19,CSE-33
22051565,DMDW_CS-37,HPC_CS-12,CSE-37
22051566,DMDW_CS-3,DOS_CS-2,CSE-20
22051567,CI_CS-11,DOS_CS-14,CSE-19
22051568,DMDW_CS-2,DOS_CS-18,CSE-31
22051569,DMDW_CS-3,DOS_CS-2,CSE-20
2205157,CI_CS-5,DOS_CS-5,CSE-46
22051570,DMDW_CS-32,DOS_CS-19,CSE-01
22051571,DMDW_CS-19,HPC_CS-15,CSE-54
22051572,DMDW_CS-18,HPC_CS-4,CSE-15
22051573,DMDW_CS-15,DOS_CS-18,CSE-44
22051574,DMDW_CS-5,DOS_CS-8,CSE-15
22051575,DMDW_CS-33,DOS_CS-26,CSE-33
22051576,DMDW_CS-25,DOS_CS-32,CSE-20
22051578,CI_CS-12,HPC_CS-3,CSE-11
22051579,DMDW_CS-37,DOS_CS-7,CSE-20
2205158,DMDW_CS-8,HPC_CS-1,CSE-41
22051580,CI_CS-2,HPC_CS-4,CSE-15
22051581,DMDW_CS-10,DOS_CS-6,CSE-34
22051582,DMDW_CS-37,DOS_CS-3,CSE-03
22051583,DMDW_CS-9,DOS_CS-7,CSE-20
22051584,DMDW_CS-24,HPC_CS-1,CSE-46
22051586,DMDW_CS-25,DOS_CS-32,CSE-20
22051587,DMDW_CS-35,DOS_CS-18,CSE-52
22051589,DMDW_CS-36,HPC_CS-4,CSE-25
2205159,DMDW_CS-35,DOS_CS-1,CSE-10
22051590,CI_CS-14,HPC_CS-16,CSE-08
22051591,CI_CS-10,HPC_CS-2,CSE-14
22051592,DMDW_CS-10,DOS_CS-31,CSE-34
22051593,CI_CS-9,HPC_CS-12,CSE-31
22051594,CI_CS-11,HPC_CS-19,CSE-13
22051595,DMDW_CS-34,DOS_CS-28,CSE-32
22051596,CI_CS-12,DOS_CS-4,CSE-39
22051597,DMDW_CS-8,HPC_CS-20,CSE-51
22051598,DMDW_CS-25,HPC_CS-12,CSE-31
22051599,DMDW_CS-9,DOS_CS-18,CSE-33
2205160,DMDW_CS-22,HPC_CS-3,CSE-29
22051600,CD_CS-2,DOS_CS-8,CSE-16
22051601,DMDW_CS-15,HPC_CS-16,CSE-18
22051602,CI_CS-9,HPC_CS-12,CSE-31
22051603,DMDW_CS-9,DOS_CS-5,CSE-06
22051604,DMDW_CS-10,DOS_CS-14,CSE-47
22051605,DMDW_CS-37,DOS_CS-3,CSE-37
22051606,DMDW_CS-10,DOS_CS-31,CSE-34
22051607,CI_CS-12,HPC_CS-17,CSE-27
22051608,CD_CS-1,DOS_CS-4,CSE-03
22051609,CD_CS-3,DOS_CS-13,CSE-52
2205161,CD_CS-4,HPC_CS-1,CSE-25
22051610,DMDW_CS-28,HPC_CS-1,CSE-36
22051611,CD_CS-2,DOS_CS-8,CSE-15
22051612,DMDW_CS-18,HPC_CS-15,CSE-35
22051613,DMDW_CS-28,HPC_CS-1,CSE-36
22051614,CI_CS-14,HPC_CS-2,CSE-39
22051615,DMDW_CS-5,DOS_CS-8,CSE-15
22051616,DMDW_CS-18,DOS_CS-10,CSE-10
22051617,DMDW_CS-37,DOS_CS-3,CSE-16
22051618,DMDW_CS-5,DOS_CS-8,CSE-15
22051619,DMDW_CS-2,HPC_CS-12,CSE-33
2205162,CI_CS-8,DOS_CS-32,CSE-44
22051620,DMDW_CS-8,DOS_CS-6,CSE-32
22051621,DMDW_CS-10,DOS_CS-15,CSE-19
22051622,DMDW_CS-8,DOS_CS-13,CSE-28
22051623,DMDW_CS-24,DOS_CS-13,CSE-17
22051624,DMDW_CS-15,HPC_CS-1,CSE-33
22051625,CI_CS-12,DOS_CS-3,CSE-32
22051626,DMDW_CS-30,DOS_CS-5,CSE-48
22051627,CI_CS-6,HPC_CS-16,CSE-20
22051629,DMDW_CS-37,HPC_CS-17,CSE-23
2205163,CI_CS-12,DOS_CS-3,CSE-32
22051630,DMDW_CS-10,DOS_CS-14,CSE-47
22051631,DMDW_CS-12,HPC_CS-19,CSE-21
22051632,CI_CS-8,HPC_CS-13,CSE-36
22051633,CI_CS-2,DOS_CS-6,CSE-51
22051634,DMDW_CS-3,DOS_CS-5,CSE-52
22051635,CD_CS-2,HPC_CS-21,CSE-24
22051636,DMDW_CS-18,HPC_CS-15,CSE-44
22051637,DMDW_CS-10,DOS_CS-14,CSE-47
22051638,DMDW_CS-3,DOS_CS-4,CSE-47
22051639,DMDW_CS-12,HPC_CS-19,CSE-21
2205164,CI_CS-6,DOS_CS-30,CSE-31
22051640,DMDW_CS-8,HPC_CS-4,CSE-26
22051641,DMDW_CS-10,DOS_CS-6,CSE-48
22051642,CI_CS-12,HPC_CS-6,CSE-34
22051643,CI_CS-7,DOS_CS-14,CSE-19
22051644,CD_CS-1,HPC_CS-17,CSE-52
22051645,DMDW_CS-28,DOS_CS-14,CSE-20
22051646,CD_CS-2,HPC_CS-6,CSE-17
22051647,DMDW_CS-19,DOS_CS-21,CSE-29
22051648,DMDW_CS-17,HPC_CS-15,CSE-45
22051649,DMDW_CS-35,DOS_CS-6,CSE-52
2205165,CD_CS-3,DOS_CS-5,CSE-42
22051650,DMDW_CS-17,DOS_CS-27,CSE-20
22051651,CI_CS-12,DOS_CS-3,CSE-03
22051652,DMDW_CS-12,DOS_CS-19,CSE-13
22051653,DMDW_CS-12,HPC_CS-10,CSE-36
22051654,DMDW_CS-17,HPC_CS-2,CSE-18
22051655,DMDW_CS-8,HPC_CS-9,CSE-55
22051656,DMDW_CS-9,DOS_CS-28,CSE-10
22051657,DMDW_CS-32,HPC_CS-6,CSE-25
22051658,DMDW_CS-33,HPC_CS-21,CSE-51
22051659,DMDW_CS-34,DOS_CS-14,CSE-41
2205166,DMDW_CS-24,DOS_CS-22,CSE-30
22051660,CI_CS-10,DOS_CS-4,CSE-18
22051661,CI_CS-6,HPC_CS-16,CSE-20
22051662,CD_CS-4,HPC_CS-17,CSE-05
22051663,DMDW_CS-36,HPC_CS-9,CSE-25
22051664,DMDW_CS-27,DOS_CS-7,CSE-24
22051666,CI_CS-2,HPC_CS-6,CSE-02
22051667,DMDW_CS-32,HPC_CS-6,CSE-25
22051668,CD_CS-3,DOS_CS-5,CSE-06
22051669,DMDW_CS-24,DOS_CS-13,CSE-47
2205167,DMDW_CS-30,DOS_CS-15,CSE-42
22051671,CI_CS-7,HPC_CS-17,CSE-47
22051672,DMDW_CS-4,HPC_CS-1,CSE-01
22051673,DMDW_CS-10,DOS_CS-14,CSE-41
22051675,DMDW_CS-5,DOS_CS-26,CSE-10
22051676,DMDW_CS-17,HPC_CS-2,CSE-18
22051677,DMDW_CS-9,DOS_CS-5,CSE-39
22051678,DMDW_CS-18,DOS_CS-1,CSE-10
22051679,DMDW_CS-17,HPC_CS-2,CSE-18
2205168,CI_CS-4,DOS_CS-4,CSE-38
22051680,DMDW_CS-9,HPC_CS-3,CSE-10
22051681,DMDW_CS-4,HPC_CS-1,CSE-45
22051682,DMDW_CS-32,DOS_CS-32,CSE-46
22051684,DMDW_CS-5,DOS_CS-8,CSE-22
22051685,DMDW_CS-32,HPC_CS-12,CSE-31
22051686,DMDW_CS-8,HPC_CS-16,CSE-14
22051687,DMDW_CS-8,HPC_CS-9,CSE-55
22051688,DMDW_CS-32,HPC_CS-4,CSE-03
22051689,CD_CS-3,DOS_CS-5,CSE-06
2205169,CI_CS-4,DOS_CS-13,CSE-11
22051690,DMDW_CS-18,DOS_CS-10,CSE-44
22051691,CD_CS-4,DOS_CS-9,CSE-13
22051692,DMDW_CS-2,HPC_CS-13,CSE-04
22051693,DMDW_CS-36,HPC_CS-9,CSE-25
22051694,DMDW_CS-32,HPC_CS-4,CSE-25
22051695,DMDW_CS-3,HPC_CS-1,CSE-31
22051696,DMDW_CS-15,HPC_CS-3,CSE-02
22051697,DMDW_CS-1,DOS_CS-7,CSE-03
22051698,DMDW_CS-30,DOS_CS-9,CSE-52
22051699,DMDW_CS-36,DOS_CS-2,CSE-10
2205170,DMDW_CS-1,DOS_CS-15,CSE-54
22051700,CI_CS-8,DOS_CS-1,CSE-34
22051701,CI_CS-8,HPC_CS-19,CSE-48
22051703,CI_CS-1,HPC_CS-5,CSE-12
22051704,DMDW_CS-5,HPC_CS-4,CSE-04
22051707,DMDW_CS-32,DOS_CS-18,CSE-44
22051708,DMDW_CS-33,DOS_CS-26,CSE-19
22051709,DMDW_CS-21,HPC_CS-14,CSE-55
2205171,CI_CS-11,DOS_CS-8,CSE-38
22051711,DMDW_CS-8,DOS_CS-15,CSE-46
22051712,DMDW_CS-3,DOS_CS-13,CSE-22
22051713,CI_CS-6,DOS_CS-26,CSE-53
22051714,DMDW_CS-17,HPC_CS-2,CSE-40
22051715,DMDW_CS-9,DOS_CS-5,CSE-11
22051716,DMDW_CS-4,HPC_CS-2,CSE-40
22051717,DMDW_CS-10,DOS_CS-14,CSE-41
22051718,DMDW_CS-3,DOS_CS-13,CSE-22
22051719,DMDW_CS-2,DOS_CS-5,CSE-18
2205172,CI_CS-3,DOS_CS-7,CSE-12
22051720,DMDW_CS-32,DOS_CS-5,CSE-55
22051721,DMDW_CS-9,DOS_CS-30,CSE-33
22051722,DMDW_CS-25,DOS_CS-19,CSE-01
22051723,DMDW_CS-2,DOS_CS-5,CSE-38
22051724,DMDW_CS-4,DOS_CS-6,CSE-40
22051725,DMDW_CS-6,DOS_CS-28,CSE-49
22051726,DMDW_CS-1,DOS_CS-15,CSE-46
22051727,DMDW_CS-18,DOS_CS-10,CSE-20
22051728,DMDW_CS-32,DOS_CS-2,CSE-01
22051729,DMDW_CS-5,HPC_CS-19,CSE-21
2205173,DMDW_CS-4,HPC_CS-2,CSE-05
22051730,DMDW_CS-3,HPC_CS-3,CSE-41
22051731,DMDW_CS-35,DOS_CS-15,CSE-04
22051732,DMDW_CS-37,DOS_CS-28,CSE-04
22051733,DMDW_CS-12,HPC_CS-10,CSE-36
22051734,CD_CS-3,DOS_CS-21,CSE-06
22051735,CI_CS-14,HPC_CS-14,CSE-25
22051737,CI_CS-12,DOS_CS-3,CSE-03
22051738,DMDW_CS-12,DOS_CS-2,CSE-37
22051739,DMDW_CS-10,DOS_CS-6,CSE-21
2205174,DMDW_CS-3,HPC_CS-10,CSE-34
22051740,DMDW_CS-24,HPC_CS-3,CSE-43
22051741,DMDW_CS-25,DOS_CS-7,CSE-01
22051742,DMDW_CS-12,DOS_CS-14,CSE-08
22051743,DMDW_CS-30,DOS_CS-30,CSE-54
22051744,DMDW_CS-12,DOS_CS-14,CSE-37
22051745,CI_CS-6,DOS_CS-3,CSE-36
22051746,CI_CS-12,HPC_CS-3,CSE-11
22051747,DMDW_CS-10,HPC_CS-13,CSE-28
22051748,CI_CS-5,HPC_CS-2,CSE-36
22051749,DMDW_CS-8,DOS_CS-28,CSE-22
2205175,DMDW_CS-12,DOS_CS-4,CSE-25
22051750,CD_CS-3,DOS_CS-5,CSE-22
22051751,DMDW_CS-5,DOS_CS-7,CSE-20
22051752,DMDW_CS-30,DOS_CS-5,CSE-46
22051753,CI_CS-14,HPC_CS-7,CSE-22
22051754,DMDW_CS-21,DOS_CS-1,CSE-35
22051755,DMDW_CS-4,DOS_CS-5,CSE-40
22051756,DMDW_CS-30,DOS_CS-14,CSE-44
22051757,DMDW_CS-9,DOS_CS-3,CSE-36
22051758,DMDW_CS-27,DOS_CS-9,CSE-23
22051759,DMDW_CS-36,DOS_CS-2,CSE-13
2205176,DMDW_CS-11,DOS_CS-8,CSE-21
22051760,DMDW_CS-37,DOS_CS-9,CSE-20
22051761,CD_CS-4,DOS_CS-31,CSE-14
22051762,CI_CS-6,DOS_CS-3,CSE-36
22051763,DMDW_CS-10,DOS_CS-6,CSE-21
22051764,DMDW_CS-23,DOS_CS-13,CSE-27
22051765,DMDW_CS-6,DOS_CS-9,CSE-52
22051766,DMDW_CS-5,DOS_CS-6,CSE-17
22051767,DMDW_CS-35,HPC_CS-1,CSE-28
22051768,DMDW_CS-2,DOS_CS-31,CSE-23
22051769,DMDW_CS-1,DOS_CS-5,CSE-01
2205177,CI_CS-4,HPC_CS-13,CSE-21
22051770,DMDW_CS-15,DOS_CS-22,CSE-23
22051771,DMDW_CS-4,HPC_CS-15,CSE-27
22051772,DMDW_CS-18,HPC_CS-19,CSE-37
22051773,DMDW_CS-5,DOS_CS-10,CSE-27
22051774,DMDW_CS-4,HPC_CS-12,CSE-33
22051775,CI_CS-3,HPC_CS-14,CSE-22
22051776,CI_CS-4,DOS_CS-7,CSE-50
22051778,DMDW_CS-17,HPC_CS-3,CSE-06
22051779,DMDW_CS-5,DOS_CS-7,CSE-20
22051780,CI_CS-1,DOS_CS-6,CSE-51
22051781,DMDW_CS-32,DOS_CS-26,CSE-01
22051782,DMDW_CS-11,DOS_CS-8,CSE-15
22051783,DMDW_CS-17,DOS_CS-9,CSE-04
22051784,CI_CS-12,HPC_CS-15,CSE-36
22051785,DMDW_CS-4,DOS_CS-22,CSE-52
22051786,DMDW_CS-3,HPC_CS-13,CSE-43
22051787,DMDW_CS-4,DOS_CS-5,CSE-52
22051788,DMDW_CS-22,HPC_CS-9,CSE-31
22051789,DMDW_CS-3,HPC_CS-2,CSE-43
2205179,DMDW_CS-33,HPC_CS-21,CSE-16
22051790,DMDW_CS-8,DOS_CS-28,CSE-22
22051791,DMDW_CS-8,DOS_CS-21,CSE-04
22051792,DMDW_CS-37,DOS_CS-9,CSE-20
22051793,DMDW_CS-12,DOS_CS-7,CSE-34
22051794,DMDW_CS-33,DOS_CS-4,CSE-27
22051795,DMDW_CS-1,DOS_CS-5,CSE-15
22051796,DMDW_CS-3,DOS_CS-2,CSE-04
22051797,DMDW_CS-8,DOS_CS-21,CSE-04
22051798,DMDW_CS-3,DOS_CS-7,CSE-34
22051799,CI_CS-8,DOS_CS-19,CSE-50
2205180,DMDW_CS-25,HPC_CS-9,CSE-14
22051800,CI_CS-6,DOS_CS-32,CSE-02
22051801,CI_CS-1,DOS_CS-8,CSE-48
22051802,DMDW_CS-4,DOS_CS-22,CSE-52
22051803,CI_CS-3,HPC_CS-14,CSE-22
22051804,CI_CS-13,DOS_CS-26,
22051805,CI_CS-3,HPC_CS-16,CSE-22
22051806,DMDW_CS-3,DOS_CS-13,CSE-42
22051807,CI_CS-8,DOS_CS-19,CSE-25
22051808,CI_CS-8,DOS_CS-19,CSE-26
22051809,DMDW_CS-22,HPC_CS-15,CSE-27
22051810,DMDW_CS-12,DOS_CS-7,CSE-34
22051811,CI_CS-1,DOS_CS-8,CSE-07
22051812,CI_CS-8,DOS_CS-19,CSE-44
22051813,DMDW_CS-12,DOS_CS-2,CSE-34
22051814,DMDW_CS-30,DOS_CS-2,CSE-20
22051815,CI_CS-8,DOS_CS-19,CSE-50
22051816,DMDW_CS-27,DOS_CS-9,CSE-17
22051817,DMDW_CS-27,DOS_CS-21,CSE-51
22051818,CI_CS-8,DOS_CS-19,CSE-50
22051819,DMDW_CS-25,DOS_CS-7,CSE-01
22051820,DMDW_CS-3,DOS_CS-7,CSE-34
22051821,DMDW_CS-18,DOS_CS-9,CSE-12
22051822,DMDW_CS-12,DOS_CS-14,CSE-37
22051823,DMDW_CS-12,DOS_CS-14,CSE-37
22051824,DMDW_CS-12,DOS_CS-14,CSE-37
22051825,DMDW_CS-8,DOS_CS-14,CSE-55
22051826,DMDW_CS-27,DOS_CS-13,CSE-21
22051827,DMDW_CS-10,DOS_CS-32,CSE-49
22051828,DMDW_CS-3,DOS_CS-14,CSE-53
22051829,DMDW_CS-30,DOS_CS-32,CSE-27
2205183,DMDW_CS-12,DOS_CS-4,CSE-25
22051830,DMDW_CS-21,HPC_CS-5,CSE-22
22051831,CI_CS-11,DOS_CS-14,CSE-08
22051832,DMDW_CS-10,DOS_CS-3,CSE-49
22051833,CI_CS-4,DOS_CS-4,CSE-38
22051834,CI_CS-14,DOS_CS-4,CSE-38
22051835,DMDW_CS-15,DOS_CS-14,CSE-08
22051836,DMDW_CS-12,DOS_CS-8,CSE-28
22051837,DMDW_CS-3,DOS_CS-14,CSE-53
