Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051009,DMDW_CS-21,DOS_CS-27,CSE-39
2205101,DMDW_CS-28,DOS_CS-32,CSE-20
22051010,DMDW_CS-32,DOS_CS-5,CSE-34
22051011,DMDW_CS-21,DOS_CS-28,CSE-32
22051012,DMDW_CS-4,DOS_CS-5,CSE-29
22051013,DMDW_CS-37,HPC_CS-16,CSE-49
22051014,DMDW_CS-30,DOS_CS-30,CSE-39
22051015,DMDW_CS-12,DOS_CS-7,CSE-14
22051016,DMDW_CS-15,DOS_CS-22,CSE-30
22051017,DMDW_CS-9,DOS_CS-5,CSE-36
22051018,CI_CS-2,DOS_CS-13,CSE-52
22051019,CD_CS-1,HPC_CS-7,CSE-06
2205102,DMDW_CS-11,HPC_CS-5,CSE-34
22051020,DMDW_CS-21,DOS_CS-1,CSE-32
22051021,DMDW_CS-21,DOS_CS-13,CSE-52
22051022,CD_CS-3,DOS_CS-13,CSE-55
22051023,DMDW_CS-10,DOS_CS-13,CSE-41
22051024,CD_CS-3,HPC_CS-12,CSE-47
22051026,DMDW_CS-21,DOS_CS-26,CSE-47
22051027,DMDW_CS-10,DOS_CS-15,CSE-19
22051028,DMDW_CS-21,DOS_CS-2,CSE-32
22051029,CI_CS-14,HPC_CS-1,CSE-29
2205103,DMDW_CS-8,DOS_CS-8,CSE-13
22051030,DMDW_CS-5,DOS_CS-7,CSE-13
22051031,DMDW_CS-19,DOS_CS-21,CSE-29
22051032,DMDW_CS-30,DOS_CS-15,CSE-30
22051033,DMDW_CS-18,HPC_CS-5,CSE-47
22051034,CD_CS-3,DOS_CS-13,CSE-53
22051035,CI_CS-2,HPC_CS-3,CSE-49
22051036,DMDW_CS-10,DOS_CS-5,CSE-44
22051037,CD_CS-1,HPC_CS-1,CSE-39
22051038,DMDW_CS-5,DOS_CS-4,CSE-13
22051039,CD_CS-2,DOS_CS-10,CSE-53
2205104,DMDW_CS-4,DOS_CS-30,CSE-44
